# U  docc
1.50 0.125805
1.51 0.124992
1.52 0.124180
1.53 0.123368
1.54 0.122554
1.55 0.121743
1.56 0.120932
1.57 0.120122
1.58 0.119310
1.59 0.118500
1.60 0.117690
1.61 0.116881
1.62 0.116073
1.63 0.115263
1.64 0.114455
1.65 0.113648
1.66 0.112841
1.67 0.112035
1.68 0.111227
1.69 0.110422
1.70 0.109617
1.71 0.108813
1.72 0.108010
1.73 0.107202
1.74 0.106400
1.75 0.105596
1.76 0.104794
1.77 0.103993
1.78 0.103192
1.79 0.102392
1.80 0.101590
1.81 0.100790
1.82 0.099991
1.83 0.099192
1.84 0.098394
1.85 0.097597
1.86 0.096800
1.87 0.096004
1.88 0.095208
1.89 0.094413
1.90 0.093619
1.91 0.092825
1.92 0.092033
1.93 0.091241
1.94 0.090449
1.95 0.089660
1.96 0.088867
1.97 0.088078
1.98 0.087289
1.99 0.086502
2.00 0.085715
2.01 0.084929
2.02 0.084144
2.03 0.083357
2.04 0.082572
2.05 0.081790
2.06 0.081008
2.07 0.080227
2.08 0.079446
2.09 0.078667
2.10 0.077888
2.11 0.077111
2.12 0.076335
2.13 0.075560
2.14 0.074785
2.15 0.074013
2.16 0.073241
2.17 0.072471
2.18 0.071700
2.19 0.070933
2.20 0.070167
2.21 0.069397
2.22 0.068633
2.23 0.067869
2.24 0.067108
2.25 0.066347
2.26 0.065588
2.27 0.064831
2.28 0.064074
2.29 0.063318
2.30 0.062569
2.31 0.061816
2.32 0.061068
2.33 0.060320
2.34 0.059572
2.35 0.058829
2.36 0.058089
2.37 0.057351
2.38 0.027641
2.39 0.027250
2.40 0.026892
2.41 0.026556
2.42 0.026232
2.43 0.025920
2.44 0.025618
2.45 0.025325
2.46 0.025040
2.47 0.024762
2.48 0.024492
2.49 0.024227
2.50 0.023968
2.51 0.023715
2.52 0.023469
2.53 0.023227
2.54 0.022991
2.55 0.022758
2.56 0.022531
2.57 0.022309
2.58 0.022089
2.59 0.021874
2.60 0.021663
2.61 0.021456
2.62 0.021252
2.63 0.021052
2.64 0.020855
2.65 0.020661
2.66 0.020472
2.67 0.020285
2.68 0.020100
2.69 0.019919
2.70 0.019740
2.71 0.019564
2.72 0.019391
2.73 0.019221
2.74 0.019053
2.75 0.018887
2.76 0.018725
2.77 0.018564
2.78 0.018406
2.79 0.018250
2.80 0.018097
2.81 0.017945
2.82 0.017796
2.83 0.017649
2.84 0.017504
2.85 0.017361
2.86 0.017219
2.87 0.017080
2.88 0.016942
2.89 0.016807
2.90 0.016673
2.91 0.016541
2.92 0.016410
2.93 0.016281
2.94 0.016154
2.95 0.016029
2.96 0.015905
2.97 0.015783
2.98 0.015662
2.99 0.015543
3.00 0.015425
3.01 0.015309
3.02 0.015194
3.03 0.015081
3.04 0.014969
3.05 0.014858
3.06 0.014748
3.07 0.014640
3.08 0.014533
3.09 0.014427
3.10 0.014323
3.11 0.014220
3.12 0.014118
3.13 0.014017
3.14 0.013917
3.15 0.013819
3.16 0.013722
3.17 0.013625
3.18 0.013530
3.19 0.013436
3.20 0.013342
3.21 0.013250
3.22 0.013159
3.23 0.013069
3.24 0.012980
3.25 0.012892
3.26 0.012804
3.27 0.012718
3.28 0.012633
3.29 0.012548
3.30 0.012465
3.31 0.012382
3.32 0.012300
3.33 0.012219
3.34 0.012139
3.35 0.012060
3.36 0.011980
3.37 0.011902
3.38 0.011825
3.39 0.011749
3.40 0.011674
3.41 0.011599
3.42 0.011525
3.43 0.011451
3.44 0.011380
3.45 0.011308
3.46 0.011236
3.47 0.011167
3.48 0.011097
3.49 0.011028
3.50 0.010960
3.51 0.010892
3.52 0.010825
3.53 0.010759
3.54 0.010693
3.55 0.010629
3.56 0.010564
3.57 0.010500
3.58 0.010436
3.59 0.010375
3.60 0.010312
3.61 0.010251
3.62 0.010189
3.63 0.010130
3.64 0.010070
3.65 0.010011
3.66 0.009952
3.67 0.009893
3.68 0.009836
3.69 0.009779
3.70 0.009722
3.71 0.009666
3.72 0.009610
3.73 0.009556
3.74 0.009501
3.75 0.009447
3.76 0.009393
3.77 0.009339
3.78 0.009287
3.79 0.009234
3.80 0.009184
3.81 0.009132
3.82 0.009081
3.83 0.009030
3.84 0.008980
3.85 0.008930
3.86 0.008881
3.87 0.008832
3.88 0.008785
3.89 0.008737
3.90 0.008689
3.91 0.008642
3.92 0.008595
3.93 0.008548
3.94 0.008502
3.95 0.008457
3.96 0.008411
3.97 0.008366
3.98 0.008322
3.99 0.008278
4.00 0.008234
