# U  docc
1.50 0.125806
1.51 0.124993
1.52 0.124181
1.53 0.123368
1.54 0.122556
1.55 0.121745
1.56 0.120934
1.57 0.120123
1.58 0.119311
1.59 0.118501
1.60 0.117692
1.61 0.116883
1.62 0.116074
1.63 0.115264
1.64 0.114456
1.65 0.113649
1.66 0.112842
1.67 0.112036
1.68 0.111229
1.69 0.110423
1.70 0.109619
1.71 0.108812
1.72 0.108008
1.73 0.107205
1.74 0.106402
1.75 0.105599
1.76 0.104795
1.77 0.103994
1.78 0.103193
1.79 0.102392
1.80 0.101591
1.81 0.100791
1.82 0.099993
1.83 0.099195
1.84 0.098397
1.85 0.097599
1.86 0.096803
1.87 0.096006
1.88 0.095211
1.89 0.094414
1.90 0.093620
1.91 0.092827
1.92 0.092035
1.93 0.091243
1.94 0.090451
1.95 0.089661
1.96 0.088870
1.97 0.088081
1.98 0.087293
1.99 0.086504
2.00 0.085718
2.01 0.084932
2.02 0.084145
2.03 0.083361
2.04 0.082577
2.05 0.081795
2.06 0.081013
2.07 0.080232
2.08 0.079451
2.09 0.078672
2.10 0.077895
2.11 0.077118
2.12 0.076342
2.13 0.075567
2.14 0.074793
2.15 0.074020
2.16 0.073248
2.17 0.072478
2.18 0.071707
2.19 0.070939
2.20 0.070173
2.21 0.069408
2.22 0.068643
2.23 0.067880
2.24 0.067119
2.25 0.066357
2.26 0.065599
2.27 0.064843
2.28 0.064086
2.29 0.063334
2.30 0.062581
2.31 0.061831
2.32 0.061083
2.33 0.060337
2.34 0.059591
2.35 0.058849
2.36 0.058107
2.37 0.057370
2.38 0.056634
2.39 0.055900
2.40 0.055168
2.41 0.054438
2.42 0.053712
2.43 0.052989
2.44 0.052268
2.45 0.051551
2.46 0.050834
2.47 0.050122
2.48 0.049412
2.49 0.048707
2.50 0.048007
2.51 0.047309
2.52 0.046613
2.53 0.045923
2.54 0.045235
2.55 0.044553
2.56 0.043876
2.57 0.043203
2.58 0.042533
2.59 0.041870
2.60 0.041212
2.61 0.040558
2.62 0.039909
2.63 0.039268
2.64 0.038631
2.65 0.038000
2.66 0.037375
2.67 0.036756
2.68 0.036142
2.69 0.035540
2.70 0.034939
2.71 0.034355
2.72 0.033771
2.73 0.033194
2.74 0.032623
2.75 0.032060
2.76 0.031504
2.77 0.030956
2.78 0.030416
2.79 0.029883
2.80 0.029359
2.81 0.028842
2.82 0.028381
2.83 0.027885
2.84 0.027397
2.85 0.026918
2.86 0.026448
2.87 0.025987
2.88 0.025531
2.89 0.025087
2.90 0.024649
2.91 0.024216
2.92 0.023798
2.93 0.023350
2.94 0.022942
2.95 0.022547
2.96 0.022292
2.97 0.021935
2.98 0.021578
2.99 0.021229
3.00 0.020884
3.01 0.020550
3.02 0.020223
3.03 0.019902
3.04 0.019588
3.05 0.019281
3.06 0.018980
3.07 0.018684
3.08 0.018217
3.09 0.017938
3.10 0.017661
3.11 0.017385
3.12 0.017117
3.13 0.016834
3.14 0.016544
3.15 0.016232
3.16 0.013724
3.17 0.013627
3.18 0.013531
3.19 0.013438
3.20 0.013344
3.21 0.013252
3.22 0.013161
3.23 0.013071
3.24 0.012982
3.25 0.012894
3.26 0.012807
3.27 0.012720
3.28 0.012634
3.29 0.012549
3.30 0.012465
3.31 0.012382
3.32 0.012301
3.33 0.012220
3.34 0.012140
3.35 0.012061
3.36 0.011982
3.37 0.011905
3.38 0.011828
3.39 0.011752
3.40 0.011677
3.41 0.011602
3.42 0.011528
3.43 0.011455
3.44 0.011382
3.45 0.011311
3.46 0.011239
3.47 0.011168
3.48 0.011099
3.49 0.011029
3.50 0.010961
3.51 0.010894
3.52 0.010826
3.53 0.010760
3.54 0.010694
3.55 0.010629
3.56 0.010564
3.57 0.010501
3.58 0.010437
3.59 0.010375
3.60 0.010313
3.61 0.010251
3.62 0.010192
3.63 0.010131
3.64 0.010071
3.65 0.010011
3.66 0.009952
3.67 0.009894
3.68 0.009837
3.69 0.009780
3.70 0.009724
3.71 0.009667
3.72 0.009612
3.73 0.009557
3.74 0.009502
3.75 0.009447
3.76 0.009394
3.77 0.009340
3.78 0.009288
3.79 0.009235
3.80 0.009184
3.81 0.009133
3.82 0.009082
3.83 0.009032
3.84 0.008979
3.85 0.008930
3.86 0.008881
3.87 0.008832
3.88 0.008784
3.89 0.008736
3.90 0.008689
3.91 0.008642
3.92 0.008596
3.93 0.008550
3.94 0.008504
3.95 0.008458
3.96 0.008410
3.97 0.008368
3.98 0.008324
3.99 0.008277
4.00 0.008234
