# w   G_w   Sigma_w    chi_NN_w    chi_SS_w  (D: 1, T: 0.0001, U: 1.88, half-filling)
-5.000000000000000000e+00 3.532283926977645821e-06 -2.098256674324979199e-01 -1.109699723538627756e-05 -3.510040890456522789e-02 -1.870163945640219982e-06 7.409615613524529465e-01 -2.501807346888799575e-04 -3.270182473219984849e-03 -2.207343374545379979e-05 -7.720478902105577107e-04 -6.001715152853347129e-06
-4.950495049504950451e+00 3.941581754025083370e-06 -2.121633193054205668e-01 -1.238284428196877388e-05 -3.549442005686298529e-02 -2.087390844648646764e-06 7.383494438226376744e-01 -2.730057788643828120e-04 -3.387881206916713069e-03 -2.480410839558485115e-05 -8.002382317459653992e-04 -6.711043952081388830e-06
-4.901480247034604609e+00 4.396755463167147445e-06 -2.145100902105699092e-01 -1.381281466271669845e-05 -3.589006842433217770e-02 -2.329037048334151733e-06 7.361951708434061326e-01 -2.978544040483623251e-04 -3.464650271532645869e-03 -2.784343506176434232e-05 -8.171571160096906738e-04 -7.495838532998171466e-06
-4.852950739638222544e+00 4.901404975041346362e-06 -2.168890792369285447e-01 -1.539821786185835577e-05 -3.629125221340512297e-02 -2.597038198173969286e-06 7.339921805976131752e-01 -3.247399541443245262e-04 -3.545374994682129206e-03 -3.122247969807066744e-05 -8.349944928174013979e-04 -8.363078716122771393e-06
-4.804901722414081533e+00 5.460651956028985334e-06 -2.193003560143825525e-01 -1.715514406887139325e-05 -3.669798866855789043e-02 -2.894135001431721865e-06 7.317523559518369636e-01 -3.538162009423696927e-04 -3.629056648484211937e-03 -3.497496926230401137e-05 -8.534699672998255623e-04 -9.320267593634978264e-06
-4.757328438033743723e+00 6.080107035134048713e-06 -2.217443873435061552e-01 -1.910121959461674406e-05 -3.711036223197261563e-02 -3.223331734021226899e-06 7.294788980867676909e-01 -3.852451803008843456e-04 -3.715450646890596127e-03 -3.913746725039781208e-05 -8.725084963026870193e-04 -1.037545748805970308e-05
-4.710226176271032905e+00 6.765932210177430155e-06 -2.242217512269122637e-01 -2.125580292617996621e-05 -3.752847637186640384e-02 -3.587929903766610279e-06 7.271728770695915500e-01 -4.191994649033536436e-04 -3.804497556830540011e-03 -4.374955537039569234e-05 -8.920849452003949687e-04 -1.153727581142365378e-05
-4.663590273535676012e+00 7.524897073700694896e-06 -2.267330862576621420e-01 -2.364016136575743357e-05 -3.795244507363459974e-02 -3.991558783019268433e-06 7.248344393240062633e-01 -4.558631445185233784e-04 -3.896204952838930053e-03 -4.885402102267453762e-05 -9.121924128516499313e-04 -1.281495065201246605e-05
-4.617416112411560469e+00 8.364446675060517038e-06 -2.292790446490519940e-01 -2.627768422571369116e-05 -3.838238493323764544e-02 -4.438212210387012906e-06 7.224638022902359902e-01 -4.954332654203636235e-04 -3.990612384241147732e-03 -5.449705018933071555e-05 -9.328322710305196174e-04 -1.421833590065340046e-05
-4.571699121199564786e+00 9.292755854368137824e-06 -2.318603426635006126e-01 -2.919405352368648188e-05 -3.881842369310017915e-02 -4.932278377846300264e-06 7.200603283653546072e-01 -5.381197576339432015e-04 -4.087776215674680802e-03 -6.072842527021349285e-05 -9.540097533077489906e-04 -1.575793571343397372e-05
-4.526434773464915295e+00 1.031881727185531933e-05 -2.344776997252128736e-01 -3.241752053499614061e-05 -3.926068998223453121e-02 -5.478587575657349953e-06 7.176237290926535950e-01 -5.841475083336303189e-04 -4.187764167248777397e-03 -6.760172733658125464e-05 -9.757327698956781226e-04 -1.744492809311334210e-05
